,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Conceicao Da Barra,BR,-18.5933,-39.7322,72.55,93,82,3.83,broken clouds
348,Manono,CD,-7.3,27.4167,92.46,37,42,2.53,scattered clouds
349,Panormos,GR,35.4182,24.6909,83.01,44,0,8.61,clear sky
350,Sironj,IN,24.1,77.7,88.05,42,57,13.91,broken clouds
351,Namtsy,RU,62.7161,129.6658,26.08,79,100,6.24,overcast clouds
352,Jardim,BR,-21.4803,-56.1381,65.77,88,39,2.89,scattered clouds
353,Wiang Sa,TH,8.6359,99.3666,82.89,90,100,0.89,light rain
354,Martapura,ID,-3.4167,114.85,80.69,83,40,2.3,scattered clouds
355,Ondjiva,AO,-17.0667,15.7333,92.75,10,33,11.16,scattered clouds
356,Kerouane,GN,9.2667,-9.0167,73.51,88,100,2.73,overcast clouds
357,Haines Junction,CA,60.7522,-137.5108,44.55,81,100,8.05,overcast clouds
358,Galle,LK,6.0367,80.217,80.87,80,42,20.22,scattered clouds
359,Grand Baie,MU,-20.0182,57.5802,77.47,58,31,11.01,scattered clouds
360,San Quintin,MX,30.4833,-115.95,67.68,84,71,11.74,broken clouds
361,Thyboron,DK,56.6985,8.2124,58.14,82,3,21.54,clear sky
362,Uthal,PK,25.8072,66.6219,92.84,44,1,8.01,clear sky
363,Te Anau,NZ,-45.4167,167.7167,37.58,87,7,2.68,clear sky
364,Lashio,MM,22.9333,97.75,77.29,91,100,1.3,overcast clouds
365,Flinders,AU,-34.5833,150.8552,60.26,77,92,8.19,overcast clouds
366,Tabas,IR,33.5959,56.9244,87.58,14,0,3.91,clear sky
367,Juneau,US,58.3019,-134.4197,48.11,100,20,6.91,few clouds
368,Ginda,IN,30.6945,78.4932,77.86,42,0,6.13,clear sky
369,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.63,65,62,8.12,broken clouds
370,Dzhebariki-Khaya,RU,62.2167,135.8,22.48,69,27,3.27,scattered clouds
371,Tura,IN,25.5198,90.2201,77.68,94,100,2.51,overcast clouds
372,Half Moon Bay,US,37.4636,-122.4286,60.58,84,0,4.61,clear sky
373,Naze,JP,28.3667,129.4833,79.72,78,17,11.14,few clouds
374,Erenhot,CN,43.6475,111.9767,41.38,17,0,16.44,clear sky
375,Chardara,KZ,41.2547,67.9692,71.19,19,82,2.3,broken clouds
376,Poum,NC,-20.2333,164.0167,74.3,71,17,24.43,few clouds
377,Bonavista,CA,48.6499,-53.1147,44.11,71,12,15.84,few clouds
378,Kieta,PG,-6.2167,155.6333,80.11,84,23,5.08,few clouds
379,Denpasar,ID,-8.65,115.2167,80.26,88,75,6.91,broken clouds
380,Adeje,ES,28.1227,-16.726,76.08,69,51,1.14,broken clouds
381,Mogocha,RU,53.7333,119.7667,32.77,35,100,6.2,overcast clouds
382,Huntsville,US,34.7304,-86.5861,57.27,84,0,5.01,clear sky
383,Oktyabrskiy,RU,54.4815,53.471,62.74,33,27,18.81,scattered clouds
384,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,6.91,few clouds
385,Hovd,MN,48.0056,91.6419,35.24,21,0,7.49,clear sky
386,Saryozek,KZ,44.3583,77.9753,66.76,14,42,10.69,scattered clouds
387,Gombong,ID,-7.6072,109.5142,79.47,83,100,7.18,light rain
388,Mahibadhoo,MV,3.7833,72.9667,81.12,77,100,19.37,overcast clouds
389,Hami,CN,42.8,93.45,61.38,7,0,2.19,clear sky
390,Aripuana,BR,-9.1667,-60.6333,71.69,83,74,1.28,broken clouds
391,Suntar,RU,62.1444,117.6319,31.17,82,100,5.26,overcast clouds
392,Katherine,AU,-14.4667,132.2667,97.12,26,75,8.05,broken clouds
393,Bengkulu,ID,-3.8004,102.2655,81.63,78,66,4.34,heavy intensity rain
394,Burgersdorp,ZA,-30.9977,26.3286,84.0,7,0,18.84,clear sky
395,Khatanga,RU,71.9667,102.5,23.99,96,100,11.48,overcast clouds
396,Kachiry,KZ,53.0675,76.1036,47.93,36,7,8.55,clear sky
397,Krasnoselkup,RU,65.7,82.4667,39.07,59,99,17.98,overcast clouds
398,Saskylakh,RU,71.9167,114.0833,18.1,96,76,5.93,broken clouds
399,Nago,JP,26.5881,127.9761,88.65,78,7,10.0,clear sky
400,Quatre Cocos,MU,-20.2078,57.7625,77.11,58,10,11.61,clear sky
401,Saint-Francois,FR,46.4154,3.9054,60.24,88,100,9.22,overcast clouds
402,Trincomalee,LK,8.5711,81.2335,86.88,63,75,8.95,broken clouds
403,Acajutla,SV,13.5928,-89.8275,77.22,83,100,4.18,light rain
404,Tambo Grande,PE,-4.9269,-80.3447,65.25,77,97,3.4,overcast clouds
405,Ayan,RU,56.45,138.1667,37.24,55,83,12.53,broken clouds
406,Omsukchan,RU,62.5333,155.8,15.57,97,100,4.54,overcast clouds
407,Vinkovci,HR,45.2883,18.8047,61.25,63,20,13.8,few clouds
408,Mwinilunga,ZM,-11.7358,24.4293,88.2,13,0,8.34,clear sky
409,Asau,RO,46.4333,26.4,51.28,73,100,8.25,overcast clouds
410,Gisborne,NZ,-38.6533,178.0042,52.61,92,100,17.92,moderate rain
411,Marawi,PH,7.9986,124.2928,72.12,95,100,2.64,overcast clouds
412,Asmara,ER,15.3333,38.9333,73.04,25,24,8.46,few clouds
413,Thinadhoo,MV,0.5333,72.9333,82.6,70,69,17.07,broken clouds
414,Yining,CN,29.0361,114.5636,99.28,31,0,3.42,clear sky
415,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,3.44,overcast clouds
416,Rehoboth,NA,-23.3167,17.0833,85.93,8,1,2.15,clear sky
417,French Harbor,HN,16.35,-86.4333,80.08,86,100,5.82,overcast clouds
418,Berberati,CF,4.2612,15.7922,74.91,88,75,11.5,broken clouds
419,Bilibino,RU,68.0546,166.4372,25.09,93,100,4.29,overcast clouds
420,Katsuura,JP,35.1333,140.3,74.75,68,97,6.93,overcast clouds
421,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.01,61,75,5.75,broken clouds
422,Zarinsk,RU,53.7074,84.9493,45.84,47,0,6.11,clear sky
423,Iqaluit,CA,63.7506,-68.5145,29.93,80,100,11.5,overcast clouds
424,Airai,TL,-8.9266,125.4092,67.14,84,95,0.81,overcast clouds
425,Punta De Bombon,PE,-17.1717,-71.7931,59.63,83,87,4.36,overcast clouds
426,Muros,ES,42.7762,-9.0603,60.84,90,100,2.86,overcast clouds
427,Victoria Point,AU,-27.5833,153.3,64.36,77,1,9.1,clear sky
428,Roanoke Rapids,US,36.4615,-77.6542,54.18,100,100,11.5,overcast clouds
429,Camalu,MX,30.85,-116.0667,67.12,85,41,7.78,scattered clouds
430,Patitirion,GR,39.15,23.8667,74.75,52,0,12.15,clear sky
431,Vostok,RU,46.4856,135.8833,52.61,96,100,4.5,moderate rain
432,Dingle,PH,10.9995,122.6711,82.62,83,100,7.45,overcast clouds
433,Pouembout,NC,-21.1333,164.9,69.17,76,56,8.72,broken clouds
434,Sioux Lookout,CA,50.1001,-91.917,53.67,87,75,6.91,broken clouds
435,Pisco,PE,-13.7,-76.2167,60.85,88,100,3.44,mist
436,Loyola,US,37.3513,-122.1005,59.88,84,0,3.0,clear sky
437,Albanel,CA,48.8832,-72.4487,33.94,100,21,0.0,few clouds
438,Pinega,RU,64.7001,43.3936,45.14,64,8,2.68,clear sky
439,Miyako,JP,39.6367,141.9525,67.12,86,100,7.72,overcast clouds
440,San Luis,AR,-33.295,-66.3356,63.1,38,16,13.11,few clouds
441,Alexandria,EG,31.2156,29.9553,84.16,54,40,11.5,scattered clouds
442,Trzebnica,PL,51.3108,17.0633,54.01,92,99,20.2,overcast clouds
443,Daru,PG,-9.0763,143.2092,79.84,86,29,12.82,scattered clouds
444,Katobu,ID,-4.9408,122.5276,82.85,79,70,0.92,light rain
445,Mana,GF,5.6592,-53.7767,75.52,94,100,6.15,overcast clouds
446,Cap Malheureux,MU,-19.9842,57.6142,77.47,58,35,11.01,scattered clouds
447,Abu Kamal,SY,34.4506,40.9171,92.68,15,8,4.88,clear sky
448,Komsomolskiy,UZ,40.4272,71.7189,72.32,28,100,4.61,overcast clouds
449,Qingyuan,CN,23.7,113.0333,94.98,58,35,4.56,scattered clouds
450,Murray,US,40.6669,-111.888,59.49,60,40,8.05,scattered clouds
451,Urazovka,RU,55.4013,45.6186,64.72,54,98,21.32,overcast clouds
452,Wewak,PG,-3.5534,143.6268,81.55,82,99,8.34,overcast clouds
453,Makinsk,KZ,52.6292,70.4169,46.81,32,0,8.01,clear sky
454,Mildura,AU,-34.2,142.15,68.07,45,100,10.8,light rain
455,Promyshlennovskiy,RU,55.4833,86.2,47.17,41,13,6.2,few clouds
456,Athabasca,CA,54.7169,-113.2854,43.92,46,49,4.99,scattered clouds
457,Roebourne,AU,-20.7833,117.1333,80.82,35,0,22.17,clear sky
458,Anloga,GH,5.7947,0.8973,79.72,78,69,6.26,broken clouds
459,Klaksvik,FO,62.2266,-6.589,50.92,77,100,14.18,overcast clouds
460,Tottori,JP,35.5,134.2333,80.67,57,75,8.05,broken clouds
461,Nanortalik,GL,60.1432,-45.2371,36.07,71,51,0.67,broken clouds
462,Dubbo,AU,-32.25,148.6167,57.33,58,43,6.91,scattered clouds
463,Wagar,SD,16.1525,36.2032,97.77,28,28,14.32,scattered clouds
464,Lensk,RU,60.7253,114.9278,32.68,86,100,7.72,overcast clouds
465,Puro,PH,12.4841,123.3827,84.07,76,93,10.09,heavy intensity rain
466,Ndjole,GA,-0.1783,10.7649,76.98,88,100,1.41,overcast clouds
467,Rudbar,AF,30.15,62.6,86.97,12,0,9.22,clear sky
468,Santa Cruz De La Palma,ES,28.6835,-17.7642,73.54,73,20,6.91,few clouds
469,Kitimat,CA,54.0524,-128.6534,53.98,26,73,2.71,broken clouds
470,Atar,MR,20.5169,-13.0499,88.65,30,79,9.1,broken clouds
471,Mount Gambier,AU,-37.8333,140.7667,52.59,94,100,7.52,overcast clouds
472,Pierre,US,44.3683,-100.351,65.28,71,87,3.0,overcast clouds
473,Aborlan,PH,9.4352,118.5492,86.07,72,100,4.92,overcast clouds
474,Khuzdar,PK,27.7384,66.6434,85.41,18,0,5.1,clear sky
475,Itoman,JP,26.1247,127.6694,88.57,72,20,13.8,few clouds
476,Tilichiki,RU,60.4667,166.1,31.1,83,79,3.56,broken clouds
477,Piacabucu,BR,-10.4056,-36.4344,74.66,68,27,8.77,scattered clouds
478,Kongolo,CD,-5.3833,27.0,85.6,51,82,4.0,broken clouds
479,San Patricio,US,28.017,-97.5169,71.85,56,90,2.68,overcast clouds
480,Narrabri,AU,-30.3167,149.7833,58.51,61,19,1.01,few clouds
481,Ahualulco,MX,22.4,-101.1667,53.94,84,98,7.4,overcast clouds
482,Balkhash,KZ,46.844,74.9804,58.84,24,0,16.17,clear sky
483,Phangnga,TH,8.4509,98.5298,82.44,88,100,1.9,overcast clouds
484,Poninka,UA,50.1849,27.5363,47.73,84,100,18.79,overcast clouds
485,Kuching,MY,1.55,110.3333,86.22,74,40,4.61,scattered clouds
486,Sawtell,AU,-30.3833,153.1,59.18,77,57,4.61,broken clouds
487,Dukat,RU,62.55,155.55,13.95,97,100,3.89,overcast clouds
488,Kijang,KR,35.2442,129.2139,78.53,85,66,15.37,broken clouds
489,Morant Bay,JM,17.8815,-76.4093,78.42,83,95,3.78,overcast clouds
490,Turayf,SA,31.6725,38.6637,86.25,28,0,6.91,clear sky
491,Barcelos,PT,41.5388,-8.6151,76.91,41,0,1.9,clear sky
492,Redcliffe,AU,-27.2307,153.0973,64.35,63,40,6.91,scattered clouds
493,Jarvenpaa,FI,60.4737,25.0899,47.66,93,75,5.75,broken clouds
494,Hailey,US,43.5196,-114.3153,49.86,65,100,5.01,overcast clouds
495,Ha Tinh,VN,18.3333,105.9,81.45,82,43,5.44,scattered clouds
496,Roald,NO,62.5833,6.1333,56.16,76,75,14.97,broken clouds
497,Rio Grande,BR,-32.035,-52.0986,54.21,86,0,11.3,clear sky
498,Petatlan,MX,17.5167,-101.2667,73.56,94,66,3.6,broken clouds
499,Galesong,ID,-5.3166,119.3661,75.22,70,88,8.77,overcast clouds
500,Vila,PT,42.0304,-8.1588,54.48,36,15,1.23,few clouds
501,Male,MV,4.1748,73.5089,85.95,74,75,21.85,broken clouds
502,Floresta,BR,-8.6011,-38.5686,68.47,81,0,8.34,clear sky
503,Turukhansk,RU,65.8167,87.9833,35.96,66,100,12.06,overcast clouds
504,Sangar,RU,63.9242,127.4739,24.51,78,47,8.48,scattered clouds
505,Ornskoldsvik,SE,63.2909,18.7153,47.35,100,40,3.44,scattered clouds
506,Bassano,CA,50.7834,-112.4685,46.63,78,0,4.09,clear sky
507,Cuajinicuilapa,MX,16.4667,-98.4167,72.82,94,100,2.8,overcast clouds
508,Harper,LR,4.375,-7.7169,77.94,85,100,4.14,light rain
509,Weligama,LK,5.9667,80.4167,80.71,81,50,18.57,scattered clouds
510,Porto Torres,IT,40.835,8.3972,73.58,65,100,14.67,overcast clouds
511,Juba,SS,4.8517,31.5825,87.49,53,100,3.42,light rain
512,Surt,LY,31.2089,16.5887,77.92,58,54,11.16,broken clouds
513,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,0,9.22,clear sky
514,Gazanjyk,TM,39.2446,55.5154,75.79,11,10,23.33,clear sky
515,Keuruu,FI,62.2667,24.7,42.98,77,100,2.46,overcast clouds
516,Marathon,US,44.9,-89.7668,48.69,89,20,4.61,few clouds
517,Qasigiannguit,GL,68.8193,-51.1922,19.53,89,96,4.34,overcast clouds
518,Nisia Floresta,BR,-6.0911,-35.2086,73.78,83,7,6.8,clear sky
519,Ahmadpur East,PK,29.1431,71.2598,100.31,21,0,9.82,clear sky
520,Shagonar,RU,51.5333,92.8,41.59,32,1,2.53,clear sky
521,Itigi,TZ,-5.7,34.4833,81.81,22,35,8.88,scattered clouds
522,Cockburn Town,TC,21.4612,-71.1419,82.4,72,100,1.12,overcast clouds
523,Inhambane,MZ,-23.865,35.3833,82.38,65,40,9.22,scattered clouds
524,Novyy Svit,UA,47.8059,38.0211,60.31,51,42,17.29,scattered clouds
525,Husavik,IS,66.0449,-17.3389,46.27,86,86,8.14,overcast clouds
526,Livingston,GB,55.9029,-3.5226,55.47,79,75,6.91,broken clouds
527,Sanmenxia,CN,34.7747,111.1814,63.75,85,100,7.52,overcast clouds
528,Kodinar,IN,20.7903,70.7031,84.7,58,84,8.48,broken clouds
529,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,3.44,fog
530,Ixtapa,MX,20.7,-105.2,76.23,93,100,2.08,overcast clouds
531,Chatra,IN,24.2167,84.8667,83.89,71,84,8.28,light rain
532,Tongren,CN,27.7172,109.1853,97.11,31,0,9.4,clear sky
533,Voyvozh,RU,62.892,54.9635,49.5,95,100,8.23,overcast clouds
534,Ponta Delgada,PT,37.7333,-25.6667,73.51,88,20,12.66,few clouds
535,Jerantut,MY,3.936,102.3626,80.06,90,97,2.01,light rain
536,Mangai,CD,-4.05,19.5333,85.77,50,82,3.85,broken clouds
537,Moussoro,TD,13.6408,16.4901,94.32,34,2,12.44,clear sky
538,Voh,NC,-20.9667,164.7,69.03,77,35,9.08,scattered clouds
539,Alibag,IN,18.6411,72.8792,87.87,72,40,10.22,scattered clouds
540,Wanaka,NZ,-44.7,169.15,37.78,71,3,5.01,clear sky
541,Iwanai,JP,42.9744,140.5089,61.95,93,11,7.45,few clouds
542,Port Hedland,AU,-20.3167,118.5667,80.65,65,0,14.97,clear sky
543,Miandrivazo,MG,-19.5167,45.4667,92.93,32,0,4.92,clear sky
544,Svetlogorsk,BY,52.6333,29.7333,41.83,95,100,19.22,overcast clouds
545,Buzmeyin,TM,38.0507,58.2056,74.93,19,0,11.5,clear sky
546,Kannangad,IN,12.3081,75.1063,81.73,80,79,14.52,moderate rain
547,Carleton Place,CA,45.1334,-76.1494,38.21,94,0,1.99,clear sky
548,Havre,FR,49.5833,0.3333,54.0,100,100,11.5,fog
549,Road Town,VG,18.4167,-64.6167,82.49,77,91,11.68,overcast clouds
550,Maniitsoq,GL,65.4167,-52.9,33.64,59,32,3.4,scattered clouds
551,Mercedes,AR,-34.6515,-59.4307,50.65,71,7,7.87,clear sky
552,Kruisfontein,ZA,-34.0033,24.7314,66.88,58,35,19.51,scattered clouds
553,Shetpe,KZ,44.1667,52.1167,66.69,13,100,23.62,overcast clouds
554,Mionica,BA,44.8672,18.4631,61.48,57,12,10.76,few clouds
555,Vao,NC,-22.6667,167.4833,69.64,66,96,17.54,overcast clouds
556,Christchurch,NZ,-43.5333,172.6333,49.91,61,100,12.66,overcast clouds
557,Ketchikan,US,55.3422,-131.6461,46.87,100,75,5.75,broken clouds
558,Bandarbeyla,SO,9.4942,50.8122,84.34,64,75,24.7,broken clouds
559,Tarko-Sale,RU,64.9225,77.785,40.51,63,97,21.45,overcast clouds
560,Kyotera,UG,-0.6156,31.5175,84.36,38,97,4.25,overcast clouds
561,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,11.5,broken clouds
562,Axim,GH,4.8699,-2.2405,80.94,74,67,2.01,broken clouds
563,Trstenik,RS,43.6169,21.0025,63.01,76,94,9.69,overcast clouds
564,Hernani,ES,43.2662,-1.9762,70.41,77,0,1.99,clear sky
565,Khandyga,RU,62.6667,135.6,23.31,61,12,2.93,few clouds
566,Magan,ES,39.9683,-3.931,68.52,28,61,4.21,broken clouds
567,Maine-Soroa,NE,13.2114,12.0241,89.44,47,85,16.46,overcast clouds
568,Panlaitan,PH,12.1191,119.8486,85.24,73,95,10.58,overcast clouds
569,Sapa,PH,5.1544,120.3241,83.77,71,100,8.28,light rain
570,Canico,PT,32.6333,-16.85,72.23,82,20,2.3,few clouds
571,Gushikawa,JP,26.3544,127.8686,87.8,69,0,13.8,clear sky
572,Port Augusta,AU,-32.5,137.7667,66.25,49,100,8.55,moderate rain
573,Veraval,IN,20.9,70.3667,84.27,59,66,7.09,broken clouds
574,Fort-Shevchenko,KZ,44.5086,50.263,68.43,29,97,25.26,overcast clouds
575,Sao Filipe,CV,14.8961,-24.4956,78.37,77,28,9.01,scattered clouds
576,Iracoubo,GF,5.4802,-53.2011,75.79,93,100,6.15,overcast clouds
577,Naples,IT,40.8333,14.25,76.6,74,40,3.44,scattered clouds
578,Metro,ID,-5.1131,105.3067,83.77,71,92,7.54,overcast clouds
579,Paita,PE,-5.0892,-81.1144,62.31,87,95,10.63,overcast clouds
580,Qandala,SO,11.472,49.8728,91.65,45,7,8.57,clear sky
581,Rong Kwang,TH,18.339,100.3174,82.44,80,93,1.01,overcast clouds
582,Smithers,CA,54.7804,-127.1743,39.52,100,75,0.0,fog
583,Camaqua,BR,-30.8511,-51.8122,50.32,97,0,3.53,clear sky
584,Hinton,CA,53.4001,-117.5857,48.83,93,39,2.13,scattered clouds
585,Trairi,BR,-3.2778,-39.2689,77.67,73,19,12.93,few clouds
586,Swan Hill,AU,-35.3378,143.5544,59.85,49,100,7.07,overcast clouds
587,Soe,ID,-9.8607,124.284,73.02,82,92,3.18,overcast clouds
588,Ndele,CF,8.4109,20.6473,81.73,71,82,5.93,light rain
589,Qaqortoq,GL,60.7167,-46.0333,33.93,65,98,6.11,overcast clouds
590,Tomatlan,MX,19.9333,-105.25,72.03,98,100,3.09,overcast clouds
591,Muroto,JP,33.2833,134.15,76.77,75,10,7.96,clear sky
592,Kefalos,GR,36.7453,26.9589,75.42,53,0,20.71,clear sky
593,Fort Nelson,CA,58.8053,-122.7002,33.39,75,20,3.44,few clouds
594,Mola Di Bari,IT,41.0609,17.0873,72.23,77,3,12.66,clear sky
595,Clearlake,US,38.9582,-122.6264,58.17,64,0,2.37,clear sky
596,Atambua,ID,-9.1061,124.8925,80.1,73,72,2.75,broken clouds
597,Honavar,IN,14.2833,74.45,83.21,76,41,12.5,scattered clouds
598,Great Yarmouth,GB,52.6083,1.7305,53.42,68,100,5.57,overcast clouds
599,Matias Romero,MX,16.8833,-95.0333,66.94,94,80,6.96,broken clouds
600,Lewisville,US,33.0462,-96.9942,66.16,63,0,0.0,clear sky
601,Porto Novo,BJ,6.4965,2.6036,78.62,71,48,4.03,scattered clouds
602,Rupert,US,42.6191,-113.6772,50.83,49,1,2.82,clear sky
603,Krasnogorsk,RU,55.8225,37.3181,59.25,94,100,20.13,light rain
604,Yaan,NG,7.3833,8.5667,73.58,90,100,6.46,overcast clouds
605,Mabaruma,GY,8.2,-59.7833,72.64,99,98,2.28,overcast clouds
606,Nurota,UZ,40.5614,65.6886,71.56,15,9,8.57,clear sky
607,Araouane,ML,18.9048,-3.5265,94.23,28,13,12.17,few clouds
608,Salinopolis,BR,-0.6136,-47.3561,78.1,86,20,9.73,few clouds
609,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,100,40,10.58,light intensity shower rain
610,Bagamoyo,TZ,-6.4333,38.9,82.38,44,10,9.71,clear sky
611,The Valley,AI,18.217,-63.0578,82.09,74,99,14.38,overcast clouds
612,Aguimes,ES,27.9054,-15.4461,74.66,83,1,11.5,clear sky
613,Djibo,BF,14.1022,-1.6306,86.07,56,99,8.86,overcast clouds
614,Ossora,RU,59.2353,163.0719,38.98,67,40,2.93,scattered clouds
615,Elko,US,41.0002,-115.5012,47.64,46,0,1.99,clear sky
616,Batangafo,CF,7.3008,18.2833,80.37,74,100,4.14,overcast clouds
617,Dong Hoi,VN,17.4833,106.6,81.41,82,37,6.58,scattered clouds
618,Rockport,US,28.0206,-97.0544,78.01,89,0,5.75,clear sky
619,Jacareacanga,BR,-6.2222,-57.7528,70.2,99,43,1.41,scattered clouds
620,Beinamar,TD,8.6698,15.3813,83.25,69,88,4.0,overcast clouds
621,Ronne,DK,55.1009,14.7066,55.31,44,40,12.66,scattered clouds
622,Pinawa,CA,50.1489,-95.8811,54.23,68,94,6.22,overcast clouds
623,Takaka,NZ,-40.85,172.8,52.56,92,100,3.47,overcast clouds
624,Novobelokatay,RU,55.7062,58.9549,55.18,49,100,7.99,overcast clouds
625,Oistins,BB,13.0667,-59.5333,78.89,89,40,8.05,scattered clouds
626,Pingliang,CN,35.5392,106.6861,51.3,80,100,6.26,overcast clouds
627,Troyes,FR,48.3333,4.0833,51.85,93,100,5.75,overcast clouds
628,Codrington,AU,-38.2667,141.9667,53.06,87,100,8.79,light rain
629,Lyubytino,RU,58.8122,33.3922,45.41,93,100,16.26,light rain
630,Caraz,PE,-9.0486,-77.81,60.49,73,67,5.12,broken clouds
631,Alikalia,SL,9.1667,-11.4,73.09,93,100,1.9,overcast clouds
632,Gondomar,PT,41.1445,-8.5322,76.21,68,0,4.61,clear sky
633,Buchanan,LR,5.8808,-10.0467,76.86,88,96,4.27,light rain
634,Dauphin,CA,51.1494,-100.0502,51.94,100,20,9.22,few clouds
635,Tabuk,PH,17.4189,121.4443,81.14,82,96,2.55,light rain
636,Marsh Harbour,BS,26.5412,-77.0636,79.68,76,6,4.92,clear sky
637,Lasa,IT,46.6166,10.7002,58.69,78,37,6.87,scattered clouds
638,Faya,SA,18.3851,42.4509,77.11,37,28,7.18,scattered clouds
639,Lata,PT,40.1629,-8.3327,77.49,39,1,1.63,clear sky
640,Ust-Nera,RU,64.5667,143.2,10.69,97,53,1.19,broken clouds
641,Atbasar,KZ,51.8,68.3333,49.21,26,0,9.62,clear sky
642,Banjar,ID,-8.19,114.9675,81.46,85,100,1.61,moderate rain
643,Acapulco,MX,16.8634,-99.8901,76.64,86,100,3.56,overcast clouds
644,Alta Floresta,BR,-9.8756,-56.0861,69.85,95,58,1.01,broken clouds
645,Hamilton,US,39.1834,-84.5333,49.98,87,0,1.01,clear sky
646,Sampit,ID,-2.5333,112.95,83.89,70,85,2.66,overcast clouds
647,Warmbad,NA,-28.45,18.7333,77.38,8,44,8.93,scattered clouds
648,Acarau,BR,-2.8856,-40.12,76.77,78,9,14.54,clear sky
649,Okha,RU,53.5739,142.9478,42.26,83,100,4.14,light rain
650,Udachnyy,RU,66.4167,112.4,21.61,92,100,11.86,overcast clouds
651,Kaeo,NZ,-35.1,173.7833,57.33,88,42,6.13,scattered clouds
652,Ambulu,ID,-8.345,113.6058,80.83,78,100,5.97,light rain
653,Kalisz,PL,51.7611,18.091,54.37,74,97,22.28,overcast clouds
654,Irbeyskoye,RU,55.6428,95.4522,38.59,68,72,4.72,broken clouds
655,Lesnoy,RU,57.6198,63.0784,49.86,59,100,12.57,overcast clouds
656,Porkhov,RU,57.765,29.5561,42.24,92,100,17.72,moderate rain
657,Tautira,PF,-17.7333,-149.15,77.32,78,68,16.58,light rain
658,Tuy Hoa,VN,13.0833,109.3,82.06,81,38,9.31,scattered clouds
659,Sitka,US,57.0531,-135.33,48.33,80,100,1.01,overcast clouds
660,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,66,0,8.05,clear sky
661,Radeberg,DE,51.1167,13.9167,54.81,92,75,13.8,broken clouds
662,Taksimo,RU,56.3444,114.8794,32.27,54,98,3.91,overcast clouds
663,Kill,IE,52.1761,-7.335,58.73,87,100,15.03,overcast clouds
664,Chegem,RU,43.2833,43.1333,35.73,84,98,1.39,overcast clouds
665,Palana,RU,59.1167,159.9667,35.02,97,100,8.41,overcast clouds
666,Goderich,CA,43.7501,-81.7165,37.72,87,81,3.44,broken clouds
667,Tadine,NC,-21.55,167.8833,70.57,76,99,14.25,overcast clouds
668,Ahuimanu,US,21.4447,-157.8378,78.51,80,100,9.22,overcast clouds
669,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.46,95,100,1.63,overcast clouds
670,Avera,US,33.194,-82.5271,59.56,91,0,8.21,clear sky
671,Emerald,AU,-23.5333,148.1667,71.35,58,98,16.62,overcast clouds
672,Telford,GB,52.6766,-2.4493,55.9,93,0,1.14,clear sky
673,Hagenow,DE,53.4333,11.1833,58.37,73,29,16.04,scattered clouds
674,Kortkeros,RU,61.8106,51.5806,51.8,94,100,5.48,overcast clouds
675,Westport,US,41.1415,-73.3579,53.08,66,100,10.0,overcast clouds
676,Mizur,RU,42.8531,44.0531,57.74,89,100,4.18,overcast clouds
677,Honiara,SB,-9.4333,159.95,79.41,86,45,2.53,scattered clouds
678,Naryan-Mar,RU,67.6713,53.087,44.15,70,13,7.27,few clouds
679,Qena,EG,26.1615,32.7183,95.34,17,0,2.84,clear sky
680,Yiyang,CN,28.5892,112.3283,101.84,27,0,10.29,clear sky
681,Ibirite,BR,-20.0219,-44.0589,67.51,86,86,3.15,overcast clouds
682,Almaznyy,RU,48.0448,40.045,61.23,47,37,15.23,scattered clouds
683,Matara,LK,5.9485,80.5353,80.8,81,57,18.39,broken clouds
684,Henties Bay,NA,-22.116,14.2845,61.12,77,6,10.67,clear sky
685,Pullman,US,46.7313,-117.1796,58.89,68,0,4.61,clear sky
686,Kampene,CD,-3.6,26.6667,78.53,75,65,2.55,light rain
687,Sechura,PE,-5.5569,-80.8222,61.86,86,93,10.49,overcast clouds
688,Beloha,MG,-25.1667,45.05,94.51,17,0,5.53,clear sky
689,Uarini,BR,-2.99,-65.1083,70.97,99,99,1.7,overcast clouds
690,Washington,US,47.5001,-120.5015,63.91,58,10,3.6,clear sky
691,Sur,OM,22.5667,59.5289,90.14,49,0,11.1,clear sky
692,Srednekolymsk,RU,67.45,153.6833,26.38,69,95,3.02,overcast clouds
693,Imeni Stepana Razina,RU,54.8932,44.2963,59.45,54,100,20.38,overcast clouds
694,Roma,US,43.2128,-75.4557,41.67,88,100,1.99,overcast clouds
695,Ivybridge,GB,50.3904,-3.9191,61.27,90,37,8.12,scattered clouds
696,Roseburg,US,43.2165,-123.3417,58.33,85,0,0.81,clear sky
697,San Policarpo,PH,12.1791,125.5072,82.71,78,100,7.2,overcast clouds
698,Esso,RU,55.9333,158.7,35.02,94,100,6.24,light snow
